cand,support_biden,support_sanders,support_harris,support_orourke,support_booker,support_klobuchar,support_warren,support_hickenlooper,support_gillibrand,support_delaney,support_castro,support_deblasio,support_gabbard,support_buttigieg,support_inslee,support_ryan,support_moulton,support_swalwell,support_yang,support_williamson,support_gravel,support_bullock,support_bennet,support_messam
support_harris,0.355,0.255,1.000,0.385,0.422,0.079,0.516,-0.143,-0.021,-0.292,0.157,-0.170,-0.377,0.429,0.026,-0.238,-0.371,0.033,-0.035,-0.283,-0.320,-0.175,-0.151,-0.359
support_warren,0.322,0.412,0.516,0.368,0.373,-0.043,1.000,-0.145,-0.042,-0.254,0.142,-0.141,-0.352,0.451,0.014,-0.142,-0.365,-0.008,-0.065,-0.257,-0.300,-0.145,-0.149,-0.346
support_buttigieg,0.239,0.128,0.429,0.327,0.244,0.096,0.451,-0.017,-0.060,-0.224,0.147,-0.231,-0.335,1.000,0.020,-0.189,-0.390,-0.089,-0.089,-0.312,-0.237,-0.235,-0.144,-0.400
support_booker,0.383,0.238,0.422,0.341,1.000,-0.038,0.373,-0.133,0.015,-0.137,0.055,0.026,-0.260,0.244,-0.023,-0.137,-0.264,-0.058,-0.086,-0.238,-0.245,-0.126,-0.195,-0.203
support_orourke,0.264,0.187,0.385,1.000,0.341,0.020,0.368,-0.054,-0.009,-0.121,0.079,-0.074,-0.211,0.327,-0.047,-0.204,-0.221,0.069,-0.089,-0.275,-0.250,-0.156,-0.070,-0.271
support_biden,1.000,0.407,0.355,0.264,0.383,-0.011,0.322,-0.115,-0.009,-0.029,-0.031,-0.020,-0.185,0.239,-0.097,-0.153,-0.132,0.005,-0.165,-0.251,-0.200,-0.091,-0.077,-0.258
support_sanders,0.407,1.000,0.255,0.187,0.238,-0.152,0.412,-0.118,0.042,0.039,-0.071,0.115,-0.023,0.128,0.025,-0.035,-0.127,0.068,0.040,-0.070,-0.158,-0.107,-0.057,-0.157
support_castro,-0.031,-0.071,0.157,0.079,0.055,0.094,0.142,-0.055,-0.157,-0.244,1.000,-0.165,-0.138,0.147,0.055,-0.085,-0.186,-0.064,0.069,-0.115,-0.165,-0.073,-0.049,-0.183
support_klobuchar,-0.011,-0.152,0.079,0.020,-0.038,1.000,-0.043,0.104,0.045,-0.041,0.094,-0.166,-0.036,0.096,0.036,-0.071,-0.071,-0.033,-0.107,-0.068,-0.050,-0.004,0.015,-0.056
support_swalwell,0.005,0.068,0.033,0.069,-0.058,-0.033,-0.008,-0.036,0.014,0.086,-0.064,0.211,0.121,-0.089,0.146,-0.007,0.270,1.000,0.034,0.073,0.073,0.128,0.172,0.087
support_inslee,-0.097,0.025,0.026,-0.047,-0.023,0.036,0.014,-0.005,-0.073,-0.039,0.055,-0.001,0.026,0.020,1.000,-0.011,0.056,0.146,0.056,-0.030,0.100,0.044,0.095,-0.045
support_gillibrand,-0.009,0.042,-0.021,-0.009,0.015,0.045,-0.042,0.084,1.000,0.167,-0.157,0.199,0.027,-0.060,-0.073,0.064,0.094,0.014,-0.141,0.197,0.161,-0.069,-0.091,0.127
support_yang,-0.165,0.040,-0.035,-0.089,-0.086,-0.107,-0.065,0.034,-0.141,-0.019,0.069,0.048,0.122,-0.089,0.056,0.061,0.000,0.034,1.000,0.102,0.035,0.071,0.014,0.038
support_hickenlooper,-0.115,-0.118,-0.143,-0.054,-0.133,0.104,-0.145,1.000,0.084,0.110,-0.055,0.070,0.041,-0.017,-0.005,0.044,0.008,-0.036,0.034,0.121,0.199,-0.060,-0.027,0.087
support_bennet,-0.077,-0.057,-0.151,-0.070,-0.195,0.015,-0.149,-0.027,-0.091,0.102,-0.049,0.067,0.185,-0.144,0.095,0.031,0.260,0.172,0.014,0.002,0.028,0.130,1.000,0.143
support_deblasio,-0.020,0.115,-0.170,-0.074,0.026,-0.166,-0.141,0.070,0.199,0.234,-0.165,1.000,0.225,-0.231,-0.001,0.134,0.255,0.211,0.048,0.228,0.130,0.016,0.067,0.248
support_bullock,-0.091,-0.107,-0.175,-0.156,-0.126,-0.004,-0.145,-0.060,-0.069,0.105,-0.073,0.016,0.193,-0.235,0.044,0.036,0.218,0.128,0.071,0.059,0.192,1.000,0.130,0.268
support_ryan,-0.153,-0.035,-0.238,-0.204,-0.137,-0.071,-0.142,0.044,0.064,0.111,-0.085,0.134,0.151,-0.189,-0.011,1.000,0.261,-0.007,0.061,0.080,0.085,0.036,0.031,0.155
support_williamson,-0.251,-0.070,-0.283,-0.275,-0.238,-0.068,-0.257,0.121,0.197,0.225,-0.115,0.228,0.261,-0.312,-0.030,0.080,0.169,0.073,0.102,1.000,0.283,0.059,0.002,0.419
support_delaney,-0.029,0.039,-0.292,-0.121,-0.137,-0.041,-0.254,0.110,0.167,1.000,-0.244,0.234,0.248,-0.224,-0.039,0.111,0.274,0.086,-0.019,0.225,0.248,0.105,0.102,0.218
support_gravel,-0.200,-0.158,-0.320,-0.250,-0.245,-0.050,-0.300,0.199,0.161,0.248,-0.165,0.130,0.207,-0.237,0.100,0.085,0.262,0.073,0.035,0.283,1.000,0.192,0.028,0.407
support_messam,-0.258,-0.157,-0.359,-0.271,-0.203,-0.056,-0.346,0.087,0.127,0.218,-0.183,0.248,0.328,-0.400,-0.045,0.155,0.367,0.087,0.038,0.419,0.407,0.268,0.143,1.000
support_moulton,-0.132,-0.127,-0.371,-0.221,-0.264,-0.071,-0.365,0.008,0.094,0.274,-0.186,0.255,0.352,-0.390,0.056,0.261,1.000,0.270,0.000,0.169,0.262,0.218,0.260,0.367
support_gabbard,-0.185,-0.023,-0.377,-0.211,-0.260,-0.036,-0.352,0.041,0.027,0.248,-0.138,0.225,1.000,-0.335,0.026,0.151,0.352,0.121,0.122,0.261,0.207,0.193,0.185,0.328
